date,dateArticle,articleContent,articleForumBlogTitle,webSourcedArticle
2007-04-02,2007-04-03,"Citi Celebrates Local Incorporation in China Monday  April  2,  2007,  Shanghai - Citi China today celebrated its official launch in China as a locally incorporated bank.  A ceremony to mark the historic milestone was held  at  Citi's  China  headquarters  in  Shanghai,  Citi  Tower,  which  was  attended  by  senior   representatives   of   the   China   Banking   Regulatory   Commission   and   the   Shanghai Municipal Government. The locally incorporated entity will be known as Citibank (China) Co. Ltd., and is fully owned  by  its  parent,  Citibank  N.A.    It  was  announced  at  the  ceremony  that  Mr.  Richard Stanley, Chief Executive of Citi China, will be Chairman of the new company.   Mr.  Huang  Xiaoguang,  Asia-Pacific  Corporate  Bank  Head,  China,  will  serve  as  President of Citibank (China) Co. Ltd.  Mr. Richard Stanley said, ""Citi's local incorporation in China is without a doubt one of the most significant developments in our long history in this vital market, and we are both  grateful  and  delighted  to  have  been  granted  this  opportunity.    Citi's  wide  cross  section  of  business  lines  in  China  leaves  us  well  poised  to  accelerate  our  growth  plans   as   a   locally   incorporated   bank,   while   contributing   to   the   continued   advancement of China's banking sector."" Candidates  for  the  Board  of  Directors  of  Citibank  (China)  Co.  Ltd.  have  been  confirmed  and  will  be  announced  in  due  course.    Citi  China  expects  to  be  in  a  position to launch local currency services to Chinese nationals in the coming weeks. Ends About Citi  Citi,  the  leading  global  financial  services  company,  has  some  200  million  customer  accounts  and  does  business  in  more  than  100  countries,  providing  consumers,  corporations,  governments  and  institutions  with  a  broad  range  of  financial  products  and  services,  including  consumer  banking  and  credit,  corporate  and  investment  banking,  securities  brokerage,  and  wealth  management.  Major  brand  names  under  Citi's  trademark  red  arc  include  Citibank,  CitiFinancial,  Primerica,  Citi  Smith  Barney  and   Banamex.   Additional   information   may   be   found   at   www.citigroup.com   or   www.citi.com.  
About Citi China  Citi  first  established  an  office  in  China  on  May  15,  1902,  in  Shanghai.  Today  Citi  is  the  premier  foreign  bank  operating  in  China,  offering  the  broadest  product  range  of  any  foreign  bank  in  China.  Citi  currently  operates  six  corporate  &  investment  bank  branches - Beijing, Shanghai, Guangzhou, Shenzhen, Tianjin, and Chengdu, sixteen consumer  bank  outlets  in  Shanghai,  Beijing,  Tianjin,  Guangzhou,  Shenzhen  and  Chengdu, and one representative office in Xiamen. With operations in more than 100 countries around the world, Citi is the most global of all foreign banks in China. ",Citi China Obtains Local Incorporation Business License,https://www.citibank.com.cn/global_docs/pdf/20070402-Citi-Celebrates.pdf
2013-04-02,2012-08-29,"NEW YORK (Reuters) - Citigroup Inc agreed to pay $590 million to settle a shareholder lawsuit accusing it of hiding tens of billions of dollars of toxic mortgage assets, one of the largest settlements stemming from the global financial crisis.
The Citibank logo is seen at branch in Washington April 18, 2011. REUTERS/Larry Downing

The agreement resolves claims that shareholders ended up with massive losses after the bank failed to take timely writedowns on collateralized debt obligations, many backed by subprime mortgages, and engaged in self-dealing transactions that hid the risks.

Citigroup denied wrongdoing in agreeing to settle. It called the accord ?a significant step toward resolving our exposure to claims arising from the period of the financial crisis,? and said the $590 million is covered by existing reserves.

U.S. District Judge Sidney Stein in Manhattan on Wednesday granted preliminary approval of the settlement, and scheduled a January 15, 2013 hearing to consider final approval.

Investors have sued an array of banks over their conduct leading up to and during the 2007-2008 financial crisis.

In 2010, Bank of America Corp agreed to a $601.5 million settlement related to its Countrywide mortgage unit. Last year, Wells Fargo & Co reached a $590 million accord over loans and securities from the former Wachovia Corp.

The Citigroup case began in 2008. Wednesday?s accord followed mediation before retired federal judge Layn Phillips, and the gathering of nearly 40 million pages of documents, according to court papers.

?Based on the allegations and the risks we faced in establishing liability and damages, and in comparison with other securities fraud class-actions, the settlement is a very good result for the class,? Ira Press, a partner at Kirby McInerney representing the shareholders, said in a phone interview.

Fourteen current and former Citigroup executives had also been sued, including Chief Executive Vikram Pandit, his predecessor Charles Prince, and former senior adviser Robert Rubin.

It was not immediately clear whether any of these executives or their insurers are responsible to pay any of the settlement. A Citigroup spokeswoman, Shannon Bell, declined to comment.
MARKET CAP PLUNGE

In their 547-page lawsuit, Citigroup shareholders said they ended up with huge losses as the market began to recognize the ?ticking time bombs that eventually exploded back onto Citigroup?s balance sheet.?

Citigroup ultimately lost $27.68 billion in 2008.

The settlement covers shareholders from February 26, 2007, to April 18, 2008.

By March 2009, Citigroup?s market value had sunk roughly $250 billion from the start of the class period, as the bank accepted a series of federal bailouts that for a while left taxpayers owning a one-third stake.

While Citigroup has repaid the bailout money, its shares still trade at barely one-tenth their level at the end of the class period, after adjusting for a reverse stock split.

Lead plaintiffs in the shareholder lawsuit included several former employees and directors of Automated Trading Desk Inc, an electronic market making and proprietary trading company that Citigroup bought in October 2007 for about $680 million.

About 85 percent of that price was paid in Citigroup stock, and the plaintiffs received Citigroup shares as part of the transaction, according to court papers and a regulatory filing. The shares have since fallen 94 percent.

Citigroup shares closed Wednesday up 57 cents, or 1.9 percent, at $29.91 on the New York Stock Exchange.

Judge Stein also oversees bondholder and other litigation against Citigroup tied to the financial crisis.

Separately, Citigroup is trying to persuade the federal appeals court in New York to approve its $285 million settlement with the U.S. Securities and Exchange Commission of charges that it fraudulently misled investors in a sale of a $1 billion CDO.

U.S. District Judge Jed Rakoff, a colleague of Stein?s, rejected that settlement last November, and Citigroup and the SEC have jointly appealed.

The case is In re: Citigroup Inc Securities Litigation, U.S. District Court, Southern District of New York, No. 07-09901. ",Citigroup settles shareholder CDO lawsuit for $590 million,https://www.reuters.com/article/us-citigroup-settlement/citigroup-settles-shareholder-cdo-lawsuit-for-590-million-idUSBRE87S0UA20120829
2015-12-28,2015-12-29,"So I know I said I was done with my app spree and it was time to garden. However, Citi has been sending me pre-selected notifications for Simplicity card and basically saying, ""come on...you know you want it...you sub-prime mofo....""

 

..I listened to the little voice. I applied for the Citi Simplicity card and to my surprise, I was approved! This is my 4th new account in 2 weeks, as I come to an end to my 1year anniversarry of rebuilding and starting with a $500 CapitalOne Platinum card. Successful app spree nonetheless, 4/4 instant approvals.

 

AAOA: 3.5-4yrs

Util: 4%

INQ: EQ-8 / TU-5 / EX-19?

Income: $75k

Baddies yes, 2-3 CO accounts across CRA. Falling off 4/2016

Before app spree, no new INQ for 9 months of gardening

 

I don't know if this is a 'good' SL, but it beats my Amex and Discover $1k approvals last week Smiley Frustrated Instantly approved for $4600 SL. How generous is Citi with CLI? Are they SP's?",Citi Simplicity Approved! Woohoooooo,https://ficoforums.myfico.com/t5/Credit-Card-Approvals/Citi-Simplicity-Approved-Woohoooooo/td-p/4388074
2008-06-02,,,,
2007-04-21,,,,
2007-08-01,,,,
2007-12-03,,,,
2007-02-01,,,,
2007-01-03,,,,
2007-07-02,,,,
